8682,Le Mans FC,LEM,,Le Mans,,,,,,LE MANS,
8689,FC Lorient,LOR,FC Lorient,Lorient,Lorient,Lorient,Lorient,Lorient,Lorient,LORIENT,Lorient
9748,Olympique Lyonnais,LYO,Lyon,Lyon,Lyon,Lyon,Lyon,Lyon,Lyon,LYON,Lyon
9941,Toulouse FC,TOU,Toulouse FC,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,Toulouse,TOULOUSE,Toulouse
9829,AS Monaco,MON,AS Monaco FC,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco,MONACO,Monaco
9847,Paris Saint-Germain,PSG,Paris Saint,Paris Saint Germain,Paris SG,Paris Saint Germain,Paris Saint Germain,PSG,Paris SG,PARIS SG,Paris SG
8481,AS Nancy-Lorraine,NAN,AS Nancy Lorraine,Nancy,Nancy,Nancy,Nancy,Nancy,Nancy,NANCY,Nancy
8639,LOSC Lille,LIL,OSC Lille,Lille,Lille,Lille,Lille,Lille,Lille,LILLE,Lille
9851,Stade Rennais FC,REN,FC Stade Rennes,Rennes,Rennes,Rennes,Rennes,Rennes,Rennes,RENNES,Rennes
8592,Olympique de Marseille,MAR,Olympique Marseille,Marseille,Marseille,Marseille,Marseille,Marseille,Marseille,MARSEILLE,Marseille
9874,FC Sochaux-Montbéliard,SOC,FC Sochaux,Sochaux,Sochaux,Sochaux,Sochaux,Sochaux,Sochaux,SOCHAUX,Sochaux
9855,Grenoble Foot 38,GRE,,Grenoble,,,Grenoble,,,GRENOBLE,Grenoble
9873,Valenciennes FC,VAL,Valenciennes FC,Valenciennes,Valenciennes,Valenciennes,Valenciennes,Valenciennes,Valenciennes,VALENCIENNES,Valenciennes
9853,AS Saint-Étienne,ETI,AS Saint Etienne,St Etienne,Saint-Etienne,Saint Etienne,Saint Etienne,Saint Etienne,St.Etienne,SAINT ETIENNE,St Etienne
8588,RC Lens,LEN,RC Lens,Lens,Lens,Lens,Lens,Lens,Lens,LENS,Lens
10249,Montpellier Hérault SC,MON,HSC Montpellier,Montpellier,Montpellier,Montpellier,Montpellier,Montpellier,Montpellier,MONTPELLIER,Montpellier
4170,US Boulogne Cote D'Opale,BOU,Boulogne Sur Mer,Boulogne,Boulogne,Boulogne,Boulogne,,,BOULOGNE,Boulogne
108893,AC Arles-Avignon,ARL,AC Arles Avignon,Arles,,Arles-Avignon,AC Arles-Avignon,,Arles,ARLES,Arles-Avignon
8521,Stade Brestois 29,BRE,Stade Brestois,Stade Brestois,,,Stade Brestois,,Brest,BREST,Brest
8576,AC Ajaccio,AJA,AC Ajaccio,Ajaccio,Ajaccio,Ajaccio,Ajaccio,Ajaccio,Ajaccio,AJACCIO,AC Ajaccio
4087,Évian Thonon Gaillard FC,ETG,Evian TG FC,Evian TG FC,Evian Thonon Gaillard,Evian Thonon Gaillard,Evian Thonon Gaillard,Evian,Evian,EVIAN,Evian TG
9836,Dijon FCO,DIJ,Dijon FCO,Dijon,Dijon,Dijon,Dijon,Dijon,Dijon,DIJON,Dijon
9837,Stade de Reims,REI,Stade de Reims,Reims,Reims,Reims,Reims,Reims,Reims,REIMS,Reims
7794,SC Bastia,BAS,Bastia,Bastia,Bastia,Bastia,Bastia,Bastia,Bastia,BASTIA,Bastia
10242,ES Troyes AC,TRO,ES Troyes AC,Estac Troyes,Troyes,Troyes,Troyes,Troyes,Troyes,TROYES,Troyes
9747,En Avant de Guingamp,GUI,EA Guingamp,Guingamp,Guingamp,Guingamp,Guingamp,Guingamp,Guingamp,GUINGAMP,Guingamp
8550,FC Metz,MET,FC Metz,Metz,Metz,Metz,Metz,Metz,Metz,METZ,Metz
8121,Angers SCO,ANG,SCO Angers,Angers,Angers,Angers,Angers,Angers,Angers,ANGERS,Angers
6391,GFC Ajaccio,GAJ,Ajaccio GFCO,GFC Ajaccio,Gazelec Ajaccio,GFCO Ajaccio,Ajaccio Gfco,GFCO Ajaccio,GFC Ajaccio,AJACCIO GFCO,GFC Ajaccio
9823,FC Bayern Munich,BMU,Bayern Munich,Bayern Munich,Bayern Munchen,Bayern Munich,Bayern Munchen,Bayern Munchen,Bayern M,BAYERN MUNCHEN,Bayern Munich
9790,Hamburger SV,HAM,Hamburger SV,Hamburger SV,Hamburger SV,Hamburger,Hamburger SV,Hamburger,Hamburg,HAMBURGER SV,Hamburger SV
8178,Bayer 04 Leverkusen,LEV,Bayer 04 Leverkusen,Bayer Leverkusen,Bayer Leverkusen,Bayer Leverkusen,Bayer Leverkusen,Bayer Leverkusen,Leverkusen,LEVERKUSEN,Bayer Leverkusen
